type,key,summary,priority,status,updated,due,labels,fixversion,security
Vedlejší úkol,CUZKRUIAN-18538,RÚIAN: 2018-04-06 Výpadek služeb RÚIAN na vnitřním i vnějším rozhraní ISZR,Vysoká,Vyřešeno,2018-04-06T17:41:28.000+0200,,[],[],External
Záruční vada,CUZKRUIAN-18537,RÚIAN: Výpadek služeb RÚIAN na vnitřním i vnějším rozhraní ISZR,Vysoká,Vyřešeno,2018-04-06T17:33:29.000+0200,,[],[],External
Záruční vada,CUZKRUIAN-18536,Vypnutí sestavování měsíčních statistik v RUIAN,Kritická,Otevřeno,2018-04-05T17:12:39.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4.a (plán)', id='33727'>]",External
Vedlejší úkol,CUZKRUIAN-18535,Vypnutí sestavování měsíčních statistik v RUIAN,Kritická,Otevřeno,2018-04-05T17:47:26.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4.a (plán)', id='33727'>]",External
Vedlejší úkol,CUZKRUIAN-18534,Dlouhé kontroly,Nízká,Uzavřeno,2018-04-06T15:43:56.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='DB-ISUI-2.4.0.4.01', id='33838'>]",External
Chyba z testování,CUZKRUIAN-18533,RuianCtiSouboryZmen - chybějící odkaz na soubor v odpovědi,Kritická,Otevřeno,2018-04-06T15:52:43.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4.a (plán)', id='33727'>]",External
Chyba z testování,CUZKRUIAN-18532,REF3: Odmazání dodatku č. or. u AM,Vysoká,Otevřeno,2018-04-05T14:26:25.000+0200,,[],[],External
Vedlejší úkol,CUZKRUIAN-18531,Popisy atomických služeb pro služby - připomínky SZR 4.4.2018,Vysoká,Otevřeno,2018-04-04T15:21:44.000+0200,,[],[],External
Zlepšení,CUZKRUIAN-18530,DEV - Java - Výstup WLS (stdout) do /ruian/logs/,Nízká,Otevřeno,2018-04-04T15:26:16.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Chyba,CUZKRUIAN-18529,DEV - Rotované logy nejsou dostupné pro OS skupinu others,Nízká,Otevřeno,2018-04-04T15:30:36.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Provozní údržba na objednávku,CUZKRUIAN-18528,Neúspěšné přihlášení - změna hlášky,Vysoká,Otevřeno,2018-04-04T14:18:46.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.5 (Plán)', id='32935'>]",External
Záruční vada,CUZKRUIAN-18527,Dlouhý běh statistik v 2.4,Vysoká,Uzavřeno,2018-04-06T10:36:11.000+0200,,['@TODO'],"[<JIRA Version: name='xRUIAN-2.4.a (plán)', id='33727'>]",Internal
Vedlejší úkol,CUZKRUIAN-18526,Dlouhý select na RUIAN,Vysoká,Probíhá řešení,2018-04-03T17:44:34.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Chyba z testování,CUZKRUIAN-18525,VFR: chybějící soubor 20180331_ST_UKSO,Vysoká,Otevřeno,2018-04-03T08:52:55.000+0200,,[],[],External
Vedlejší úkol,CUZKRUIAN-18524,CR026-typ NZ Opravný IsuiNavrhZmenyUUP,Vysoká,Otevřeno,2018-04-02T20:54:49.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.5 (Plán)', id='32935'>]",External
Úkol,CUZKRUIAN-18523,Konverze oracle TIMESTAMP WITH TZ do javy,Vysoká,Otevřeno,2018-04-04T10:21:41.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Vedlejší úkol,CUZKRUIAN-18522,REF3 ISUI – nelze spustit komunikační fronty po zastavení if aplikací,Vysoká,Otevřeno,2018-03-29T14:56:31.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18521,REF3 – Založeny NZ s nesmyslným územím dokumentu,Vysoká,Otevřeno,2018-04-05T14:00:10.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Chyba z testování,CUZKRUIAN-18520,REF3 – Založeny NZ s nesmyslným územím dokumentu,Vysoká,Probíhá řešení,2018-03-29T15:46:46.000+0200,,[],[],External
Chyba z testování,CUZKRUIAN-18519,REF3 ISUI – nelze spustit komunikační fronty po zastavení if aplikací,Vysoká,Probíhá řešení,2018-03-29T14:57:22.000+0200,,[],[],External
Úkol,CUZKRUIAN-18518,Režie Jan Tomsa,Nízká,Otevřeno,2018-03-29T10:51:46.000+0200,,[],[],Internal
Mimozáruční vada,CUZKRUIAN-18517,PROD - Nezpracovávají se reklamace,Vysoká,Vyřešeno,2018-04-05T07:36:08.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.3.x (plán)', id='33835'>]",External
Vedlejší úkol,CUZKRUIAN-18516,Dlouhé kontroly NZ (REF3 i REF4),Kritická,Uzavřeno,2018-04-05T13:29:45.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='DB-ISUI-2.4.0.0.08', id='33837'>]",External
Chyba z testování,CUZKRUIAN-18515,Dlouhé kontroly NZ,Vysoká,Vyřešeno,2018-04-06T15:42:55.000+0200,,['@TODO'],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18514,Nelze vytisknout NZ (REF3),Vysoká,Vyřešeno,2018-04-06T16:07:48.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='DB-ISUI-2.4.0.0.08', id='33837'>]",External
Chyba z testování,CUZKRUIAN-18513,Nelze vytisknout NZ ,Vysoká,Vyřešeno,2018-04-06T13:54:18.000+0200,,['@TODO'],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18512,SZR žádost o provedení testu - PnČ 16-2018 Úpravy odpovědí na volání služby ISZR v případě duplicitního požadavku,Nízká,Vyřešeno,2018-03-29T14:50:07.000+0200,2018-03-29,[],[],External
Úkol,CUZKRUIAN-18511,Nové GUI ISUI - podvarianta 2.1 - Server side rendering - nacenění,Nízká,Otevřeno,2018-03-27T23:59:45.000+0200,2018-04-06,[],"[<JIRA Version: name='xRUIAN-2.4.x (plán)', id='33314'>]",Internal
Vedlejší úkol,CUZKRUIAN-18510,REF3: detail SO v NZ – dlouhé odezvy/chyba,Vysoká,Uzavřeno,2018-04-05T13:29:44.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='DB-ISUI-2.4.0.0.08', id='33837'>]",External
Chyba z testování,CUZKRUIAN-18509,REF3: detail SO v NZ – dlouhé odezvy/chyba ,Vysoká,Vyřešeno,2018-04-05T07:37:11.000+0200,,['@TODO'],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18508,Nezpracovávají se reklamace,Blokující,Znovu otevřeno,2018-04-04T13:40:58.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='xRUIAN-2.3.x (plán)', id='33835'>, <JIRA Version: name='DB-ISUI-2.3.3.0.01', id='33836'>, <JIRA Version: name='DB-ISUI-2.4.0.0.08', id='33837'>]",External
Chyba,CUZKRUIAN-18507,Při použití WLS pluginu verze 12.2.1.3 se nelze přihlásit do JIP,Nízká,Vyřešeno,2018-03-28T14:02:40.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Záruční vada,CUZKRUIAN-18506,Optimalizovat monitoring RUIAN a statistiky,Nízká,Otevřeno,2018-04-05T17:47:45.000+0200,,['@TODO'],"[<JIRA Version: name='xRUIAN-2.5 (Plán)', id='32935'>]",Internal
Chyba z testování,CUZKRUIAN-18505,PROD - migrace RUIAN-2.4 - služba RuianCtiSeznamZmen,Kritická,Otevřeno,2018-04-04T10:41:41.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18504,Konverze TIMESTAMPTZ ve StructParseru - ověření chování z dodávky 2.3 [AS],Kritická,Vyřešeno,2018-03-29T15:40:56.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Úkol,CUZKRUIAN-18503,TEST - Interpretovat výsledky BT RÚIAN 2.4,Vysoká,Otevřeno,2018-04-02T23:20:34.000+0200,2018-03-29,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Vedlejší úkol,CUZKRUIAN-18502,"ISUI - soupis adres a portů, na kterých (po)běží služby na PROD",Kritická,Vyřešeno,2018-04-04T14:30:21.000+0200,2018-03-30,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18501,SZR 30723 - Asynchroni E38 IszrRuianCtiSeznamZmen vraci 30 chybu Chyba na vystupu - nevalidni xml zprava ... [DB],Vysoká,Uzavřeno,2018-04-04T10:21:17.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4.a (plán)', id='33727'>, <JIRA Version: name='DB-RUIAN-2.4.0.3.01', id='33738'>, <JIRA Version: name='DB-VDP-2.4.0.3.01', id='33831'>]",External
Záruční vada,CUZKRUIAN-18500,SZR 30723 - Asynchroni E38 IszrRuianCtiSeznamZmen vraci 30 chybu Chyba na vystupu - nevalidni xml zprava ...,Vysoká,Uzavřeno,2018-04-04T10:13:06.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4.a (plán)', id='33727'>]",External
Úkol,CUZKRUIAN-18499,Release aplikací,Vysoká,Uzavřeno,2018-03-26T12:58:27.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",Internal
Zlepšení,CUZKRUIAN-18498,Propagace změn StructParser do VDP (propagace RÚIAN změny v CUZKRUIAN-18496),Vysoká,Vyřešeno,2018-03-26T10:24:26.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='JAVA-VDP-NEXT_VERSION', id='33819'>]",Internal
Zlepšení,CUZKRUIAN-18497,Propagace změn StructParser do ISÚI (propagace RÚIAN změny v CUZKRUIAN-18496),Kritická,Vyřešeno,2018-03-26T10:24:26.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='JAVA-ISUI-NEXT_VERSION', id='33817'>]",Internal
Vedlejší úkol,CUZKRUIAN-18496,PROD - migrace RUIAN-2.4 - služba RuianCtiSeznamZmen,Blokující,Uzavřeno,2018-04-04T10:21:41.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='JAVA-RUIAN-NEXT_VERSION', id='33818'>]",External
Chyba,CUZKRUIAN-18495,Dlouhe načitavani pri vyhledavani AM NZ,Vysoká,Uzavřeno,2018-03-26T16:14:23.000+0200,,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>, <JIRA Version: name='DB-ISUI-2.4.0.0.07', id='33815'>]",Internal
Vedlejší úkol,CUZKRUIAN-18494,PROD: Zastavená komunikační fronta ISÚI-RÚIAN 2018-03-22,Vysoká,Vyřešeno,2018-03-22T16:01:56.000+0100,,[],[],External
Vedlejší úkol,CUZKRUIAN-18493,Zastavená komunikační fronta ISUI na REF3 - 2018-03-21 - MIMO_PORADI,Vysoká,Vyřešeno,2018-03-22T13:16:10.000+0100,,[],[],External
Vedlejší úkol,CUZKRUIAN-18492,"RUIAN - soupis adres a portů, na kterých (po)běží služby na PROD",Vysoká,Vyřešeno,2018-03-23T12:04:01.000+0100,2018-03-22,[],"[<JIRA Version: name='xRUIAN-2.4 (plán)', id='31530'>]",External
Vedlejší úkol,CUZKRUIAN-18491,Upozornění při vyhledání adresních míst ve zvoleném VO,Vysoká,Otevřeno,2018-03-21T16:15:38.000+0100,,[],"[<JIRA Version: name='xRUIAN-2.5 (Plán)', id='32935'>]",External
Vedlejší úkol,CUZKRUIAN-18490,DEV - Logické schéma aplikační síťové komunikace,Nízká,Znovu otevřeno,2018-03-24T11:50:10.000+0100,,[],[],External
Provozní údržba na objednávku,CUZKRUIAN-18489,Logické schéma aplikační síťové komunikace,Vysoká,Otevřeno,2018-03-26T12:41:36.000+0200,,[],[],External
